City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,luan,46.3592,6.9759,-0.3,84,100,0.63,CH,1675296026
175,belmonte,-15.8631,-38.8828,24.69,86,7,3.75,BR,1675296028
176,cherskiy,68.75,161.3,-21.4,99,100,1.91,RU,1675296029
177,birin,26.8865,88.0718,7.82,71,0,1.9,NP,1675296030
178,kamen-rybolov,44.7481,132.0403,-15.25,75,26,3.22,RU,1675296031
179,mar del plata,-38.0023,-57.5575,21.04,78,75,5.14,AR,1675295758
180,tura,25.5198,90.2201,12.03,51,2,1.69,IN,1675296032
181,honiara,-9.4333,159.95,29.55,68,95,2.01,SB,1675296032
182,narsaq,60.9167,-46.05,-6.88,93,100,1.66,GL,1675296026
183,jericho,31.8667,35.45,12.59,53,35,9.0,PS,1675296033
184,shambu,9.5667,37.1,11.92,30,100,0.99,ET,1675296033
185,nanortalik,60.1432,-45.2371,-5.39,78,100,3.91,GL,1675296034
186,clyde river,70.4692,-68.5914,-34.87,61,0,2.57,CA,1675295885
187,kampong thum,12.7111,104.8887,23.6,76,74,2.39,KH,1675296035
188,umm lajj,25.0213,37.2685,17.65,49,1,3.47,SA,1675296035
189,bastrop,32.7562,-91.8724,1.82,97,100,1.54,US,1675296019
190,luau,-10.7073,22.2247,18.01,92,100,1.24,AO,1675296036
191,saint george,37.1041,-113.5841,10.7,27,0,0.89,US,1675296037
192,kamenka,51.3223,42.7678,-2.07,97,100,3.98,RU,1675296037
193,banjar,-8.19,114.9675,24.84,94,100,1.6,ID,1675296038
194,luderitz,-26.6481,15.1594,17.62,78,0,8.81,NA,1675295979
195,gornyy,55.1153,83.9059,-23.36,100,5,1.33,RU,1675296038
196,klaksvik,62.2266,-6.589,-0.49,64,87,2.34,FO,1675296039
197,padang,-0.9492,100.3543,23.03,86,100,1.6,ID,1675296039
198,hvolsvollur,63.7533,-20.2243,-3.75,73,92,2.53,IS,1675296040
199,beringovskiy,63.05,179.3167,-5.16,96,100,3.71,RU,1675296040
200,sergeyevka,53.88,67.4158,-21.47,99,29,0.89,KZ,1675296041
201,northam,51.0333,-4.2167,9.1,91,43,5.86,GB,1675296041
202,bengkulu,-3.8004,102.2655,23.93,87,100,2.19,ID,1675296042
203,dingle,10.9995,122.6711,25.5,89,63,4.48,PH,1675296043
204,te anau,-45.4167,167.7167,21.98,67,83,1.76,NZ,1675296043
205,mga,59.75,31.0667,-1.04,95,100,2.84,RU,1675296044
206,nikolskoye,59.7035,30.7861,-1.06,95,100,2.75,RU,1675296045
207,portland,45.5234,-122.6762,10.8,48,75,2.06,US,1675295380
208,shiraz,29.6036,52.5388,8.69,87,100,0.0,IR,1675296046
209,nome,64.5011,-165.4064,-11.02,100,75,0.0,US,1675295848
210,saint-augustin,51.226,-58.6502,-21.7,91,67,1.6,CA,1675296047
211,barabash,43.2,131.4833,-11.09,62,1,2.02,RU,1675296048
212,vestmannaeyjar,63.4427,-20.2734,2.32,70,100,12.74,IS,1675296049
213,la ronge,55.1001,-105.2842,-25.86,58,0,7.72,CA,1675296050
214,bardiyah,31.7561,25.0865,11.93,58,59,5.07,LY,1675296051
215,petropavlovsk-kamchatskiy,53.0452,158.6483,-16.67,66,0,5.0,RU,1675296051
216,mehamn,71.0357,27.8492,-0.05,100,100,7.2,NO,1675296052
217,nalut,30.3333,10.85,6.74,47,30,4.64,LY,1675296052
218,mildura,-34.2,142.15,18.93,53,11,7.91,AU,1675296053
219,barcelos,41.5388,-8.6151,8.71,76,2,2.38,PT,1675296053
220,puerto del rosario,28.5004,-13.8627,17.86,59,0,9.77,ES,1675296054
221,chistoye,56.5375,43.0045,-4.95,97,100,2.55,RU,1675296054
222,sechura,-5.5569,-80.8222,24.56,73,28,4.32,PE,1675296055
223,pochutla,15.7432,-96.4661,28.79,59,10,2.43,MX,1675296056
224,cap malheureux,-19.9842,57.6142,24.15,83,8,0.45,MU,1675296057
225,ancud,-41.8697,-73.8203,14.45,73,56,2.64,CL,1675296057
226,ust-kuyga,70.0167,135.6,-35.99,100,81,1.72,RU,1675296058
